Ref,Status,Design ,Type ,Mode,Year,Outstanding Benefits-RiskScore,Membership,Net Assets,AssetPerMember,ExpensesToNetAssetsRatio,Liquidity Ratio,Overall Risk Score,ReturnOn Investment,UnremmittedContributions/Total Assets,Compliance toTable G,Inflation,Interest_rates,Exchange_rates
1514,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2023,1,7170," 1,442,440,000.00 "," 201,177.13 ",0%,86%,2.27,10%,0%,5,7%,13%,151.77
1514,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2024,1,7305," 1,601,173,000.00 "," 219,188.64 ",1%,42%,2.18,11%,0%,1,#N/A,#N/A,151.77
1517,Active,Defined Contribution,Provident Fund,Guaranteed funds,2014,0,12," 14,094,220.00 "," 1,174,518.33 ",0%,1%,#N/A,10%,0%,0,7%,10%,101.78
1517,Active,Defined Contribution,Provident Fund,Guaranteed funds,2016,0,14," 10,510,584.00 "," 750,756.00 ",0%,149%,#N/A,9%,0%,0,7%,10%,101.78
1517,Active,Defined Contribution,Provident Fund,Guaranteed funds,2017,0,13," 11,701,176.00 "," 900,090.46 ",0%,65%,#N/A,9%,0%,0,5%,10%,103.37
1517,Active,Defined Contribution,Provident Fund,Guaranteed funds,2018,0,15," 12,467,852.00 "," 831,190.13 ",0%,79%,#N/A,9%,0%,0,6%,9%,101.88
1517,Active,Defined Contribution,Provident Fund,Guaranteed funds,2019,0,18," 17,203,494.00 "," 955,749.67 ",0%,1%,#N/A,8%,0%,0,5%,9%,102.55
1517,Active,Defined Contribution,Provident Fund,Guaranteed funds,2020,0,17," 21,529,854.00 "," 1,266,462.00 ",0%,14%,#N/A,8%,0%,0,5%,7%,109.51
1517,Active,Defined Contribution,Provident Fund,Guaranteed funds,2021,1,0," 27,396,481.00 ", -   ,0%,1%,2.72,8%,0%,5,6%,7%,111.93
1517,Active,Defined Contribution,Provident Fund,Guaranteed funds,2022,1,18," 32,799,377.00 "," 1,822,187.61 ",1%,4%,2.48,6%,0%,5,9%,9%,121.95
1517,Active,Defined Contribution,Provident Fund,Guaranteed funds,2023,1,32," 38,447,734.00 "," 1,201,491.69 ",1%,28%,2.48,9%,0%,5,7%,13%,151.77
1517,Active,Defined Contribution,Provident Fund,Guaranteed funds,2024,1,46," 46,410,771.00 "," 1,008,929.80 ",0%,12%,3.02,10%,1%,1,#N/A,#N/A,151.77
1518,Active,Defined Contribution,Provident Fund,Guaranteed funds,2014,0,64," 30,980,524.00 "," 484,070.69 ",1%,31%,#N/A,10%,0%,0,7%,10%,101.78
1518,Active,Defined Contribution,Provident Fund,Guaranteed funds,2015,0,206," 34,995,795.00 "," 169,882.50 ",1%,54%,#N/A,7%,0%,0,7%,13%,103.78
1518,Active,Defined Contribution,Provident Fund,Guaranteed funds,2016,0,205," 42,525,145.00 "," 207,439.73 ",0%,21%,#N/A,8%,0%,0,7%,10%,101.78
1518,Active,Defined Contribution,Provident Fund,Guaranteed funds,2017,0,212," 43,761,452.00 "," 206,421.94 ",1%,91%,#N/A,11%,0%,0,5%,10%,103.37
1518,Active,Defined Contribution,Provident Fund,Guaranteed funds,2018,0,214," 32,271,639.00 "," 150,802.05 ",1%,350%,#N/A,8%,2%,0,6%,9%,101.88
1518,Active,Defined Contribution,Provident Fund,Guaranteed funds,2019,0,204," 28,705,490.00 "," 140,713.19 ",1%,178%,#N/A,11%,1%,0,5%,9%,102.55
1518,Active,Defined Contribution,Provident Fund,Guaranteed funds,2020,0,204," 24,448,352.00 "," 119,844.86 ",1%,254%,#N/A,9%,4%,0,5%,7%,109.51
1518,Active,Defined Contribution,Provident Fund,Guaranteed funds,2021,1,405," 23,833,791.00 "," 58,848.87 ",0%,126%,3.52,11%,0%,5,6%,7%,111.93
1518,Active,Defined Contribution,Provident Fund,Guaranteed funds,2022,1,189," 25,662,574.00 "," 135,780.81 ",1%,19%,3.16,9%,0%,5,9%,9%,121.95
1518,Active,Defined Contribution,Provident Fund,Guaranteed funds,2023,1,192," 26,549,805.00 "," 138,280.23 ",1%,68%,3.08,10%,0%,5,7%,13%,151.77
1518,Active,Defined Contribution,Provident Fund,Guaranteed funds,2024,1,0," 29,913,652.00 ", -   ,0%,17%,2.92,11%,0%,1,#N/A,#N/A,151.77
1519,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2014,0,420," 398,131,305.00 "," 947,931.68 ",0%,28%,#N/A,10%,0%,0,7%,10%,101.78
1519,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2015,0,296," 441,815,771.00 "," 1,492,620.85 ",0%,49%,#N/A,5%,0%,0,7%,13%,103.78
1519,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2016,0,317," 487,871,993.00 "," 1,539,028.37 ",0%,53%,#N/A,6%,0%,0,7%,10%,101.78
1519,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2017,0,0," 573,462,184.00 ", -   ,1%,31%,#N/A,8%,0%,0,5%,10%,103.37
1519,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2018,0,343," 693,850,725.00 "," 2,022,888.41 ",0%,19%,#N/A,9%,0%,0,6%,9%,101.88
1519,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2019,0,344," 834,431,877.00 "," 2,425,674.06 ",0%,18%,#N/A,9%,0%,0,5%,9%,102.55
1519,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2020,0,589," 943,002,640.00 "," 1,601,023.16 ",0%,39%,#N/A,9%,0%,0,5%,7%,109.51
1519,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2021,1,678," 897,276,690.00 "," 1,323,416.95 ",0%,125%,2.64,10%,0%,5,6%,7%,111.93
1519,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2022,1,0," 1,006,341,011.00 ", -   ,0%,41%,2.27,9%,0%,5,9%,9%,121.95
1519,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2023,1,700," 1,119,340,429.00 "," 1,599,057.76 ",0%,46%,2.27,9%,0%,5,7%,13%,151.77
1519,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2024,1,840," 1,305,336,630.00 "," 1,553,972.18 ",0%,27%,2.83,10%,0%,1,#N/A,#N/A,151.77
152,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2014,0,0," 157,710,845.00 ", -   ,0%,13%,#N/A,9%,0%,0,7%,10%,101.78
152,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2015,0,33," 185,491,803.00 "," 5,620,963.73 ",3%,23%,#N/A,6%,0%,0,7%,13%,103.78
152,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2016,0,42," 231,409,327.00 "," 5,509,745.88 ",0%,9%,#N/A,8%,0%,0,7%,10%,101.78
152,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2017,0,41," 285,715,204.00 "," 6,968,663.51 ",0%,11%,#N/A,9%,0%,0,5%,10%,103.37
152,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2018,0,55," 343,057,299.00 "," 6,237,405.44 ",0%,12%,#N/A,8%,0%,0,6%,9%,101.88
152,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2019,0,54," 409,298,618.00 "," 7,579,604.04 ",-84%,-432%,#N/A,9%,0%,0,5%,9%,102.55
152,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2020,0,52," 392,973,761.00 "," 7,557,187.71 ",0%,123%,#N/A,8%,0%,0,5%,7%,109.51
152,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2021,5,60," 379,687,991.00 "," 6,328,133.18 ",0%,120%,3.47,9%,0%,5,6%,7%,111.93
152,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2022,1,51," 433,582,443.00 "," 8,501,616.53 ",0%,9%,2.44,6%,0%,5,9%,9%,121.95
152,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2023,1,70," 481,426,382.00 "," 6,877,519.74 ",0%,42%,2.44,9%,0%,5,7%,13%,151.77
152,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2024,1,77," 579,832,855.00 "," 7,530,296.82 ",0%,13%,2.49,11%,0%,1,#N/A,#N/A,151.77
1523,Active,Defined Contribution,Provident Fund,Guaranteed funds,2014,0,0," 60,003,527.00 ", -   ,0%,4%,#N/A,10%,0%,0,7%,10%,101.78
1523,Active,Defined Contribution,Provident Fund,Guaranteed funds,2015,0,0," 68,166,062.00 ", -   ,0%,36%,#N/A,7%,0%,0,7%,13%,103.78
1523,Active,Defined Contribution,Provident Fund,Guaranteed funds,2016,0,65," 72,555,628.00 "," 1,116,240.43 ",0%,68%,#N/A,8%,0%,0,7%,10%,101.78
1523,Active,Defined Contribution,Provident Fund,Guaranteed funds,2017,0,45," 79,686,947.00 "," 1,770,821.04 ",1%,51%,#N/A,8%,0%,0,5%,10%,103.37
1523,Active,Defined Contribution,Provident Fund,Guaranteed funds,2018,0,56," 89,358,022.00 "," 1,595,678.96 ",1%,37%,#N/A,16%,0%,0,6%,9%,101.88
1523,Active,Defined Contribution,Provident Fund,Guaranteed funds,2019,0,46," 106,794,626.00 "," 2,321,622.30 ",1%,8%,#N/A,9%,0%,0,5%,9%,102.55
1523,Active,Defined Contribution,Provident Fund,Guaranteed funds,2020,0,0," 116,496,062.00 ", -   ,0%,47%,#N/A,7%,0%,0,5%,7%,109.51
1523,Active,Defined Contribution,Provident Fund,Guaranteed funds,2021,1,59," 133,117,193.00 "," 2,256,223.61 ",0%,19%,2.72,8%,0%,5,6%,7%,111.93
1523,Active,Defined Contribution,Provident Fund,Guaranteed funds,2022,1,45," 146,839,314.00 "," 3,263,095.87 ",1%,28%,2.48,6%,0%,5,9%,9%,121.95
1523,Active,Defined Contribution,Provident Fund,Guaranteed funds,2023,1,47," 171,018,374.00 "," 3,638,688.81 ",0%,7%,2.56,9%,0%,5,7%,13%,151.77
1523,Active,Defined Contribution,Provident Fund,Guaranteed funds,2024,1,47," 201,512,901.00 "," 4,287,508.53 ",0%,9%,2.84,10%,0%,1,#N/A,#N/A,151.77
1524,Active,Defined Contribution,Provident Fund,Guaranteed funds,2014,0,109," 6,658,599.00 "," 61,088.06 ",0%,609%,#N/A,18%,13%,0,7%,10%,101.78
1526,Active,Defined Contribution,Provident Fund,Guaranteed funds,2014,0,42," 7,287,891.00 "," 173,521.21 ",0%,13%,#N/A,10%,0%,0,7%,10%,101.78
1526,Active,Defined Contribution,Provident Fund,Guaranteed funds,2015,0,37," 8,712,103.00 "," 235,462.24 ",0%,18%,#N/A,7%,0%,0,7%,13%,103.78
1526,Active,Defined Contribution,Provident Fund,Guaranteed funds,2016,0,37," 10,704,959.00 "," 289,323.22 ",0%,1%,#N/A,8%,1%,0,7%,10%,101.78
1526,Active,Defined Contribution,Provident Fund,Guaranteed funds,2017,0,39," 12,146,544.00 "," 311,449.85 ",0%,44%,#N/A,10%,0%,0,5%,10%,103.37
1526,Active,Defined Contribution,Provident Fund,Guaranteed funds,2018,0,36," 14,377,773.00 "," 399,382.58 ",0%,13%,#N/A,7%,0%,0,6%,9%,101.88
1526,Active,Defined Contribution,Provident Fund,Guaranteed funds,2019,0,34," 16,775,770.00 "," 493,405.00 ",0%,27%,#N/A,9%,2%,0,5%,9%,102.55
1526,Active,Defined Contribution,Provident Fund,Guaranteed funds,2020,0,33," 19,325,192.00 "," 585,611.88 ",0%,17%,#N/A,8%,1%,0,5%,7%,109.51
1526,Active,Defined Contribution,Provident Fund,Guaranteed funds,2021,1,33," 23,100,379.00 "," 700,011.48 ",0%,1%,2.64,9%,0%,5,6%,7%,111.93
1526,Active,Defined Contribution,Provident Fund,Guaranteed funds,2022,1,34," 26,556,670.00 "," 781,078.53 ",0%,17%,2.48,8%,0%,5,9%,9%,121.95
1526,Active,Defined Contribution,Provident Fund,Guaranteed funds,2023,1,36," 31,227,215.00 "," 867,422.64 ",0%,1%,2.48,9%,0%,5,7%,13%,151.77
1526,Active,Defined Contribution,Provident Fund,Guaranteed funds,2024,1,35," 28,070,120.00 "," 802,003.43 ",0%,222%,2.28,4%,0%,1,#N/A,#N/A,151.77
1528,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2014,0,29," 6,248,975.00 "," 215,481.90 ",3%,38%,#N/A,3%,0%,0,7%,10%,101.78
1528,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2016,0,92," 7,637,382.00 "," 83,015.02 ",3%,263%,#N/A,9%,0%,0,7%,10%,101.78
1528,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2017,0,106," 9,386,329.00 "," 88,550.27 ",3%,-49%,#N/A,10%,0%,0,5%,10%,103.37
1528,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2018,0,111," 12,783,003.00 "," 115,162.19 ",3%,-52%,#N/A,13%,0%,0,6%,9%,101.88
1528,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2019,0,117," 45,100,612.00 "," 385,475.32 ",1%,16%,#N/A,5%,0%,0,5%,9%,102.55
1528,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2020,0,136," 62,368,294.00 "," 458,590.40 ",0%,54%,#N/A,7%,0%,0,5%,7%,109.51
1528,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2021,1,136," 74,841,317.00 "," 550,303.80 ",0%,-76%,2.64,7%,0%,5,6%,7%,111.93
1528,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2022,1,142," 115,048,509.00 "," 810,200.77 ",0%,-434%,2.56,5%,0%,5,9%,9%,121.95
1528,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2023,1,114," 114,091,877.00 "," 1,000,805.94 ",0%,109%,2.58,9%,0%,5,7%,13%,151.77
1528,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2024,1,126," 97,215,188.00 "," 771,549.11 ",0%,542%,2.42,4%,0%,1,#N/A,#N/A,151.77
1529,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2014,0,222," 93,498,315.00 "," 421,163.58 ",0%,14%,#N/A,7%,0%,0,7%,10%,101.78
1529,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2016,0,253," 150,519,221.00 "," 594,937.63 ",1%,12%,#N/A,6%,0%,0,7%,10%,101.78
1529,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2017,0,266," 195,745,396.00 "," 735,884.95 ",0%,10%,#N/A,8%,0%,0,5%,10%,103.37
1529,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2018,0,265," 234,761,394.00 "," 885,892.05 ",0%,13%,#N/A,5%,0%,0,6%,9%,101.88
1529,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2019,0,266," 278,072,070.00 "," 1,045,383.72 ",0%,23%,#N/A,9%,0%,0,5%,9%,102.55
1529,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2020,0,239," 319,800,245.00 "," 1,338,076.34 ",0%,18%,#N/A,5%,0%,0,5%,7%,109.51
1529,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2021,1,233," 363,009,713.04 "," 1,557,981.60 ",0%,31%,2.72,9%,0%,5,6%,7%,111.93
1529,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2022,1,249," 391,626,227.00 "," 1,572,796.09 ",0%,54%,2.34,8%,0%,5,9%,9%,121.95
1529,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2023,1,283," 432,321,974.00 "," 1,527,639.48 ",0%,35%,2.22,6%,0%,5,7%,13%,151.77
1529,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2024,1,291," 506,874,765.00 "," 1,741,837.68 ",0%,22%,2.03,11%,0%,1,#N/A,#N/A,151.77
153,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2014,0,98," 26,237,863.00 "," 267,733.30 ",1%,37%,#N/A,11%,0%,0,7%,10%,101.78
153,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2015,0,110," 28,997,627.00 "," 263,614.79 ",1%,33%,#N/A,5%,0%,0,7%,13%,103.78
153,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2016,0,69," 28,234,607.00 "," 409,197.20 ",1%,118%,#N/A,6%,0%,0,7%,10%,101.78
153,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2017,0,103," 31,477,111.00 "," 305,603.02 ",1%,50%,#N/A,10%,0%,0,5%,10%,103.37
153,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2018,0,107," 34,835,066.00 "," 325,561.36 ",1%,28%,#N/A,4%,0%,0,6%,9%,101.88
153,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2019,0,57," 34,886,830.00 "," 612,049.65 ",0%,99%,#N/A,10%,0%,0,5%,9%,102.55
153,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2020,0,119," 35,197,347.00 "," 295,776.03 ",0%,94%,#N/A,6%,0%,0,5%,7%,109.51
153,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2021,1,114," 35,519,105.00 "," 311,571.10 ",1%,94%,2.64,7%,0%,5,6%,7%,111.93
153,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2022,1,102," 36,936,315.00 "," 362,120.74 ",1%,77%,2.43,8%,0%,5,9%,9%,121.95
153,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2023,1,134," 25,975,537.00 "," 193,847.29 ",1%,493%,2.48,3%,0%,5,7%,13%,151.77
153,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2024,1,139," 31,101,752.00 "," 223,753.61 ",0%,21%,2.19,12%,0%,1,#N/A,#N/A,151.77
1530,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2014,0,21," 46,044,231.00 "," 2,192,582.43 ",0%,31%,#N/A,10%,0%,0,7%,10%,101.78
1530,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2015,0,26," 59,066,247.00 "," 2,271,778.73 ",0%,1%,#N/A,6%,0%,0,7%,13%,103.78
1530,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2016,0,32," 76,359,035.00 "," 2,386,219.84 ",0%,7%,#N/A,7%,0%,0,7%,10%,101.78
1530,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2017,0,46," 72,633,859.00 "," 1,578,996.93 ",1%,122%,#N/A,10%,1%,0,5%,10%,103.37
1530,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2018,0,36," 85,356,660.00 "," 2,371,018.33 ",0%,16%,#N/A,8%,0%,0,6%,9%,101.88
1530,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2019,0,36," 98,988,462.00 "," 2,749,679.50 ",0%,22%,#N/A,9%,0%,0,5%,9%,102.55
1530,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2020,0,35," 93,543,920.00 "," 2,672,683.43 ",0%,134%,#N/A,8%,0%,0,5%,7%,109.51
1530,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2021,5,40," 98,499,067.00 "," 2,462,476.68 ",0%,70%,3.52,9%,0%,5,6%,7%,111.93
1530,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2022,1,53," 70,462,060.00 "," 1,329,472.83 ",0%,354%,2.51,6%,0%,5,9%,9%,121.95
1530,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2023,1,51," 79,983,626.00 "," 1,568,306.39 ",0%,28%,2.56,9%,0%,5,7%,13%,151.77
1530,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2024,5,0," 96,594,172.00 ", -   ,0%,12%,3.86,10%,0%,1,#N/A,#N/A,151.77
1532,Active,Defined Contribution,Pension Scheme,Both Segregated and Guaranteed funds,2014,0,116," 77,427,909.00 "," 667,481.97 ",0%,14%,#N/A,9%,0%,0,7%,10%,101.78
1532,Active,Defined Contribution,Pension Scheme,Both Segregated and Guaranteed funds,2015,0,108," 95,329,555.00 "," 882,681.06 ",0%,20%,#N/A,7%,0%,0,7%,13%,103.78
1532,Active,Defined Contribution,Pension Scheme,Both Segregated and Guaranteed funds,2016,0,163," 103,638,899.00 "," 635,821.47 ",0%,62%,#N/A,8%,0%,0,7%,10%,101.78
1532,Active,Defined Contribution,Pension Scheme,Both Segregated and Guaranteed funds,2017,0,153," 71,519,372.00 "," 467,446.88 ",0%,266%,#N/A,11%,0%,0,5%,10%,103.37
1532,Active,Defined Contribution,Pension Scheme,Both Segregated and Guaranteed funds,2018,0,760," 119,955,236.00 "," 157,835.84 ",0%,22%,#N/A,7%,3%,0,6%,9%,101.88
1532,Active,Defined Contribution,Pension Scheme,Both Segregated and Guaranteed funds,2019,0,952," 271,014,202.00 "," 284,678.78 ",1%,5%,#N/A,6%,0%,0,5%,9%,102.55
1532,Active,Defined Contribution,Pension Scheme,Both Segregated and Guaranteed funds,2020,0,961," 447,938,427.00 "," 466,116.99 ",1%,4%,#N/A,6%,0%,0,5%,7%,109.51
1532,Active,Defined Contribution,Pension Scheme,Both Segregated and Guaranteed funds,2021,5,975," 587,133,353.00 "," 602,188.05 ",1%,37%,3.89,10%,0%,5,6%,7%,111.93
1532,Active,Defined Contribution,Pension Scheme,Both Segregated and Guaranteed funds,2022,1,1017," 661,040,232.00 "," 649,990.40 ",1%,55%,3,3%,0%,5,9%,9%,121.95
1532,Active,Defined Contribution,Pension Scheme,Both Segregated and Guaranteed funds,2023,1,1103," 780,401,254.00 "," 707,526.07 ",1%,35%,3,1%,0%,5,7%,13%,151.77
1532,Active,Defined Contribution,Pension Scheme,Both Segregated and Guaranteed funds,2024,1,1125," 1,158,053,084.00 "," 1,029,380.52 ",1%,18%,2.9,23%,0%,5,#N/A,#N/A,151.77
1533,Active,Defined Contribution,Provident Fund,Segregated funds,2014,0,359," 167,312,531.00 "," 466,051.62 ",1%,-33%,#N/A,13%,0%,0,7%,10%,101.78
1533,Active,Defined Contribution,Provident Fund,Segregated funds,2015,0,265," 176,111,820.00 "," 664,572.91 ",2%,61%,#N/A,4%,0%,0,7%,13%,103.78
1533,Active,Defined Contribution,Provident Fund,Segregated funds,2016,0,272," 190,780,739.00 "," 701,399.78 ",1%,51%,#N/A,6%,0%,0,7%,10%,101.78
1533,Active,Defined Contribution,Provident Fund,Segregated funds,2017,0,277," 222,151,790.00 "," 801,992.02 ",1%,36%,#N/A,14%,0%,0,5%,10%,103.37
1533,Active,Defined Contribution,Provident Fund,Segregated funds,2018,0,296," 267,496,739.00 "," 903,705.20 ",2%,32%,#N/A,5%,0%,0,6%,9%,101.88
1533,Active,Defined Contribution,Provident Fund,Segregated funds,2019,0,1033," 908,470,566.00 "," 879,448.76 ",1%,-286%,#N/A,12%,0%,0,5%,9%,102.55
1533,Active,Defined Contribution,Provident Fund,Segregated funds,2020,0,600," 938,138,754.00 "," 1,563,564.59 ",1%,73%,#N/A,6%,0%,0,5%,7%,109.51
1533,Active,Defined Contribution,Provident Fund,Segregated funds,2021,5,588," 961,426,857.00 "," 1,635,079.69 ",1%,85%,4.28,11%,0%,1,6%,7%,111.93
1533,Active,Defined Contribution,Provident Fund,Segregated funds,2022,1,708," 1,037,690,378.00 "," 1,465,664.38 ",1%,61%,3.1,3%,0%,1,9%,9%,121.95
1533,Active,Defined Contribution,Provident Fund,Segregated funds,2023,1,773," 1,110,634,971.00 "," 1,436,785.21 ",1%,62%,3.1,3%,0%,1,7%,13%,151.77
1533,Active,Defined Contribution,Provident Fund,Segregated funds,2024,1,835," 1,426,679,598.00 "," 1,708,598.32 ",1%,14%,3.03,21%,0%,5,#N/A,#N/A,151.77
1534,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2014,0,12," 6,211,595.00 "," 517,632.92 ",0%,72%,#N/A,10%,0%,0,7%,10%,101.78
1534,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2015,0,11," 7,579,137.00 "," 689,012.45 ",0%,26%,#N/A,7%,0%,0,7%,13%,103.78
1534,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2016,0,11," 9,755,648.00 "," 886,877.09 ",0%,1%,#N/A,8%,0%,0,7%,10%,101.78
1534,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2017,0,12," 12,671,776.00 "," 1,055,981.33 ",0%,1%,#N/A,10%,0%,0,5%,10%,103.37
1534,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2018,0,13," 15,562,917.00 "," 1,197,147.46 ",0%,1%,#N/A,7%,0%,0,6%,9%,101.88
1534,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2019,0,13," 17,903,902.00 "," 1,377,223.23 ",0%,33%,#N/A,9%,0%,0,5%,9%,102.55
1534,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2020,0,13," 20,674,957.00 "," 1,590,381.31 ",0%,24%,#N/A,8%,0%,0,5%,7%,109.51
1534,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2021,1,15," 25,082,707.00 "," 1,672,180.47 ",0%,2%,2.72,9%,0%,5,6%,7%,111.93
1534,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2022,1,12," 28,274,300.00 "," 2,356,191.67 ",0%,35%,2.36,9%,0%,5,9%,9%,121.95
1534,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2023,1,12," 33,904,980.00 "," 2,825,415.00 ",0%,2%,2.36,9%,0%,5,7%,13%,151.77
1534,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2024,1,11," 33,545,660.00 "," 3,049,605.45 ",0%,105%,1.57,11%,0%,1,#N/A,#N/A,151.77
154,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2014,0,51," 6,590,721.00 "," 129,229.82 ",0%,4%,#N/A,10%,0%,0,7%,10%,101.78
154,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2015,0,72," 7,511,377.00 "," 104,324.68 ",0%,28%,#N/A,4%,1%,0,7%,13%,103.78
154,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2016,0,58," 9,448,419.00 "," 162,903.78 ",0%,0%,#N/A,5%,0%,0,7%,10%,101.78
154,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2017,0,81," 11,935,926.00 "," 147,357.11 ",0%,10%,#N/A,9%,0%,0,5%,10%,103.37
154,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2018,0,77," 13,232,995.00 "," 171,857.08 ",0%,41%,#N/A,4%,0%,0,6%,9%,101.88
154,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2019,0,69," 15,372,245.00 "," 222,786.16 ",1%,40%,#N/A,8%,1%,0,5%,9%,102.55
154,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2020,0,114," 17,177,015.00 "," 150,675.57 ",0%,25%,#N/A,5%,0%,0,5%,7%,109.51
154,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2021,1,120," 17,586,134.00 "," 146,551.12 ",0%,87%,2.72,7%,0%,5,6%,7%,111.93
154,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2022,1,126," 21,373,373.00 "," 169,629.94 ",0%,18%,2.41,7%,0%,5,9%,9%,121.95
154,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2023,1,126," 23,781,469.00 "," 188,741.82 ",0%,31%,2.46,2%,0%,5,7%,13%,151.77
154,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2024,1,0," 30,326,284.00 ", -   ,0%,6%,2.16,12%,0%,1,#N/A,#N/A,151.77
1540,Active,Defined Contribution,Provident Fund,Guaranteed funds,2014,0,70," 79,930,156.00 "," 1,141,859.37 ",0%,96%,#N/A,11%,0%,0,7%,10%,101.78
1540,Active,Defined Contribution,Provident Fund,Guaranteed funds,2015,0,82," 87,642,857.00 "," 1,068,815.33 ",0%,53%,#N/A,7%,0%,0,7%,13%,103.78
1540,Active,Defined Contribution,Provident Fund,Guaranteed funds,2016,0,80," 105,073,022.00 "," 1,313,412.78 ",0%,8%,#N/A,7%,0%,0,7%,10%,101.78
1540,Active,Defined Contribution,Provident Fund,Guaranteed funds,2017,0,100," 126,916,037.00 "," 1,269,160.37 ",2%,19%,#N/A,10%,0%,0,5%,10%,103.37
